beta_KMS,sym,method,trials,errors,error_rate,mean_error,std_error
1.5,1,A_LLM_T0,100,100,1.0000,,
1.5,1,B_tool_T1,100,0,0.0000,0,0
2.0,1,A_LLM_T0,100,76,0.7600,0,0
2.0,1,B_tool_T1,100,0,0.0000,0,0
2.5,1,A_LLM_T0,100,24,0.2400,7.86038e-14,0
2.5,1,B_tool_T1,100,0,0.0000,0,0
3.0,1,A_LLM_T0,100,100,1.0000,,
3.0,1,B_tool_T1,100,0,0.0000,0,0
4.0,1,A_LLM_T0,100,27,0.2700,0,0
4.0,1,B_tool_T1,100,0,0.0000,0,0
5.0,1,A_LLM_T0,100,73,0.7300,0,0
5.0,1,B_tool_T1,100,0,0.0000,0,0
6.0,1,A_LLM_T0,100,100,1.0000,,
6.0,1,B_tool_T1,100,0,0.0000,0,0
8.0,1,A_LLM_T0,100,30,0.3000,0,0
8.0,1,B_tool_T1,100,0,0.0000,0,0
