p,sym,method,trials,errors,error_rate,mean_error,std_error
0.01,1,A_LLM_T0,100,0,0.0000,0.000606864,0
0.01,1,B_tool_T1,100,0,0.0000,0,0
0.05,1,A_LLM_T0,100,60,0.6000,0.000196957,0
0.05,1,B_tool_T1,100,0,0.0000,0,0
0.1,1,A_LLM_T0,100,40,0.4000,4.40641e-06,0
0.1,1,B_tool_T1,100,0,0.0000,0,0
0.2,1,A_LLM_T0,100,100,1.0000,,
0.2,1,B_tool_T1,100,0,0.0000,0,0
0.3,2,A_LLM_T0,100,100,1.0000,0.000290899,0
0.3,2,B_tool_T1,100,0,0.0000,0,0
0.4,2,A_LLM_T0,100,100,1.0000,0.000249406,0
0.4,2,B_tool_T1,100,0,0.0000,0,0
0.45,2,A_LLM_T0,100,100,1.0000,,
0.45,2,B_tool_T1,100,0,0.0000,0,0
0.5,2,A_LLM_T0,100,21,0.2100,0,0
0.5,2,B_tool_T1,100,0,0.0000,0,0
