bits,L,zero_run,sym,method,trials,errors,error_rate,mean_error,std_error
10111111,8,1,1,A_LLM_T0,100,78,0.7800,0,0
10111111,8,1,1,B_tool_T1,100,0,0.0000,0,0
10000111,8,4,1,A_LLM_T0,100,100,1.0000,,
10000111,8,4,1,B_tool_T1,100,0,0.0000,0,0
1001111111111111,16,2,1,A_LLM_T0,100,52,0.5200,0,0
1001111111111111,16,2,1,B_tool_T1,100,0,0.0000,0,0
1000000001111111,16,8,1,A_LLM_T0,100,100,1.0000,,
1000000001111111,16,8,1,B_tool_T1,100,0,0.0000,0,0
100011111111111111111111,24,3,1,A_LLM_T0,100,100,1.0000,7.2745e+06,0
100011111111111111111111,24,3,1,B_tool_T1,100,0,0.0000,0,0
100000000000011111111111,24,12,1,A_LLM_T0,100,100,1.0000,7.34208e+06,0
100000000000011111111111,24,12,1,B_tool_T1,100,0,0.0000,0,0
1000001111111111111111111111111111111111,40,5,1,A_LLM_T0,100,100,1.0000,,
1000001111111111111111111111111111111111,40,5,1,B_tool_T1,100,0,0.0000,0,0
1000000000000000000001111111111111111111,40,20,1,A_LLM_T0,100,100,1.0000,5.49755e+11,0
1000000000000000000001111111111111111111,40,20,1,B_tool_T1,100,0,0.0000,0,0
